transaction_id,meter_number,customer_category,avg_monthly_consumption,consumption_variance,token_purchase_freq,purchased_to_measured_ratio,night_consumption_ratio,tamper_flag_count,authorized_vending,zone_fraud_rate,consumption_anomaly_score,token_reuse_flag,is_fraud
1,MTR000001,Residential,159.37910696002737,8.611141181828536,1.0,0.9698200905334884,0.30801910788176046,0.0,1,0.0977275533324692,-0.26863244088801974,0,0
2,MTR000002,Residential,49.379467681158516,3.891678057875663,3.0,0.9718982419140175,0.18249733893697567,0.0,1,0.08125222534391761,-0.4830066949849017,0,0
3,MTR000003,Commercial,44.13585545061755,17.37174192941293,2.0,0.850099047777843,0.26798213171100294,0.0,1,0.03272324274341683,1.174917611631243,0,0
4,MTR000004,Residential,124.69219017196174,5.359084751576818,4.0,1.0867431853878735,0.18071006463277328,0.0,1,0.0590987496777349,-0.5621749096695433,0,0
5,MTR000005,Industrial,297.2892627452852,10.263211424254965,1.0,1.0266075161090213,0.2266941633568097,0.0,1,0.06491386160885915,1.4599113215385895,0,0
6,MTR000006,Residential,140.80338921962004,7.548798733284577,3.0,0.9762046711122785,0.11329294337149787,0.0,1,0.045959592614878086,0.6211627465251893,0,0
7,MTR000007,Residential,71.01372724831947,2.2349852603540734,3.0,1.0790143779350687,0.14251456247427174,0.0,1,0.08810203015443796,0.29725112508543955,0,0
8,MTR000008,Commercial,158.3974301214432,37.63277538441597,4.0,1.0638876446678578,0.304187178520821,0.0,1,0.08803153241657935,0.1908038990468761,0,0
9,MTR000009,Residential,37.434914364755684,28.573891003901544,4.0,0.9377789330871827,0.2971639599005402,0.0,1,0.07622349556701564,0.4910127950457106,0,0
10,MTR000010,Residential,81.80417767406058,2.2795975257657526,5.0,0.9856280567171152,0.1765606372046794,0.0,1,0.04305177449177381,0.003204241014351142,0,0
11,MTR000011,Residential,197.57832955263768,7.6032488621931265,5.0,1.032489284122569,0.2623986577809412,0.0,1,0.050641794086269815,-0.49741720891424335,0,0
12,MTR000012,Commercial,270.85256989782056,2.0358497801699813,2.0,0.9444066921613979,0.2794055094509911,0.0,1,0.044279568848574626,0.4459768498989517,1,0
13,MTR000013,Residential,147.75416286653552,31.69555937267895,3.0,1.098786003259154,0.12322667899985204,0.0,1,0.08158699921687892,-0.030315405692847908,0,0
14,MTR000014,Industrial,34.88974963162694,25.790078941270448,5.0,1.011207324768063,0.2493970383264306,0.0,1,0.07802473877104554,-0.4792979141644324,0,0
15,MTR000015,Residential,146.8470574918009,28.933094029134875,4.0,0.8670145414846676,0.2877019637166276,0.0,1,0.0925529869909304,0.31464855484195425,0,0
16,MTR000016,Commercial,122.51418956108081,9.195713280090786,3.0,1.0068482581932785,0.2791872998683619,0.0,1,0.0737629653132841,-0.10821334413996371,0,0
17,MTR000017,Industrial,34.82596237802173,29.81116401688703,1.0,1.0115018471050048,0.3705964282879469,0.0,1,0.04265137793134574,-0.5404416324998721,0,0
18,MTR000018,Residential,144.70972757438346,39.5539603754411,3.0,0.8739391139678372,0.2130115607247768,0.0,1,0.09871309425750575,0.7761336425557155,0,0
19,MTR000019,Commercial,142.3615795085356,38.70881544694792,5.0,0.9871006928130821,0.33240303051203623,0.0,1,0.09813949174858735,1.458706362208238,0,0
20,MTR000020,Residential,285.07764601868075,32.26284745954894,4.0,0.8563241981285611,0.3709963315807764,0.0,1,0.09716547672087492,0.44268136867376917,0,0
21,MTR000021,Residential,102.54288703393544,24.03212806565229,4.0,0.9078803308878386,0.2037478491357038,0.0,1,0.08982986763272813,0.5817353773628338,0,0
22,MTR000022,Commercial,101.3545910528326,12.011990936366233,5.0,1.1421822300000344,0.3321696006900469,0.0,1,0.08602229980194753,0.05195870710964139,0,0
23,MTR000023,Commercial,266.91443291020266,10.854720647079722,1.0,0.9521352086630817,0.13886612132814868,0.0,1,0.04165425799700771,-0.9716216248705134,0,0
24,MTR000024,Residential,87.09096188906705,34.98322581577431,4.0,0.8732461870407249,0.25102123265333853,0.0,1,0.066693164988921,1.1941209430672037,0,0
25,MTR000025,Residential,11.558991219254342,0.7523179122187236,12.0,4.025864006450595,0.8404448751807257,6.0,0,0.4339255090103582,5.7130657329591035,1,1
26,MTR000026,Commercial,174.74601891291252,38.734833320701505,4.0,0.8939127816004471,0.18378624873824972,0.0,1,0.03258387187953528,0.272905777008886,0,0
27,MTR000027,Residential,64.00790302242673,24.274929455356972,3.0,0.8729705925460348,0.16057064601998178,0.0,1,0.05552162125279081,-0.01378094622107525,0,0
